date,price
1/6/2013,182.64
1/13/2013,184.85
1/20/2013,187.5
1/27/2013,185.97
2/3/2013,186.61
2/10/2013,187.07
2/17/2013,187.47
2/24/2013,186.86
3/3/2013,188.13
3/10/2013,189.17
3/17/2013,188.03
3/24/2013,190.25
3/31/2013,194.79
4/7/2013,199.7
4/14/2013,199.33
4/21/2013,199.08
4/28/2013,203.2
5/5/2013,204.66
5/12/2013,208.01
5/19/2013,200.78
5/26/2013,190.44
6/2/2013,190.16
6/9/2013,188.59
6/16/2013,178.95
6/23/2013,186.25
6/30/2013,186.51
7/7/2013,192.87
7/14/2013,195.69
7/21/2013,192.64
7/28/2013,185.67
8/4/2013,185.86
8/11/2013,172.9
8/18/2013,177.38
8/25/2013,174.11
9/1/2013,174.81
9/8/2013,178.78
9/15/2013,183.02
9/22/2013,180.86
9/29/2013,178.39
10/6/2013,183.81
10/13/2013,188.88
10/20/2013,191.65
10/27/2013,187.07
11/3/2013,179.16
11/10/2013,181.09
11/17/2013,177.23
11/24/2013,175.21
12/1/2013,177.32
12/8/2013,172.38
12/15/2013,175.58
12/22/2013,175.77
12/29/2013,176.22
1/5/2014,179.22
1/12/2014,179.71
1/19/2014,178.58
1/26/2014,181.94
2/2/2014,183.92
2/9/2014,187.7
2/16/2014,188.34
2/23/2014,190.73
3/2/2014,189.87
3/9/2014,189.74
3/16/2014,189.41
3/23/2014,190.02
3/30/2014,192.82
4/6/2014,191.05
4/13/2014,195.19
4/20/2014,195.53
4/27/2014,198.97
5/4/2014,201.3
5/11/2014,202.22
5/18/2014,201
5/25/2014,202.43
6/1/2014,205.97
6/8/2014,201.17
6/15/2014,203.93
6/22/2014,203.78
6/29/2014,202.73
7/6/2014,204.84
7/13/2014,207.65
7/20/2014,206.49
7/27/2014,202.97
8/3/2014,202.85
8/10/2014,205.94
8/17/2014,207.49
8/24/2014,208.54
8/31/2014,210.72
9/7/2014,199.29
9/14/2014,198.74
9/21/2014,196.59
9/28/2014,196.62
10/5/2014,200.1
10/12/2014,203.26
10/19/2014,209.66
10/26/2014,216.13
11/2/2014,215.44
11/9/2014,214.26
11/16/2014,216.51
11/23/2014,220.08
11/30/2014,220.17
12/7/2014,220.52
12/14/2014,223.75
12/21/2014,226.28
12/28/2014,226.2
1/4/2015,234.44
1/11/2015,240.75
1/18/2015,242.12
1/25/2015,237.71
2/1/2015,234.27
2/8/2015,233.57
2/15/2015,232.39
2/22/2015,228.74
3/1/2015,220.38
3/8/2015,225.57
3/15/2015,238.21
3/22/2015,230.63
3/29/2015,233
4/5/2015,226.6
4/12/2015,224.61
4/19/2015,226.91
4/26/2015,220.07
5/3/2015,221.6
5/10/2015,222.8
5/17/2015,219.89
5/24/2015,217.39
5/31/2015,212.01
6/7/2015,212.43
6/14/2015,216
6/21/2015,209.92
6/28/2015,210.73
7/5/2015,215.23
7/12/2015,217.18
7/19/2015,216.12
7/26/2015,218.75
8/2/2015,218.74
8/9/2015,221.66
8/16/2015,217
8/23/2015,210.22
8/30/2015,199.78
9/6/2015,204.56
9/13/2015,210.58
9/20/2015,210.43
9/27/2015,213.98
10/4/2015,221.06
10/11/2015,223.61
10/18/2015,225.25
10/25/2015,223.07
11/1/2015,218.13
11/8/2015,213.07
11/15/2015,220.94
11/22/2015,223.19
11/29/2015,220.87
12/6/2015,216.74
12/13/2015,220.46
12/20/2015,224.39
12/27/2015,224.74
1/3/2016,217.96
1/10/2016,213.02
1/17/2016,214.74
1/24/2016,215.52
1/31/2016,210.51
2/7/2016,200.71
2/14/2016,209.47
2/21/2016,213.66
2/28/2016,222.17
3/6/2016,225.66
3/13/2016,230.46
3/20/2016,226.47
3/27/2016,233.8
4/3/2016,232.25
4/10/2016,232.17
4/17/2016,227.81
4/24/2016,226.94
5/1/2016,237.54
5/8/2016,232.97
5/15/2016,226.85
5/22/2016,230.82
5/29/2016,232.15
6/5/2016,231.9
6/12/2016,234.88
6/19/2016,234.25
6/26/2016,244.76
7/3/2016,247.94
7/10/2016,248.88
7/17/2016,253.4
7/24/2016,255.01
7/31/2016,249.61
8/7/2016,248.86
8/14/2016,244.37
8/21/2016,243.39
8/28/2016,247.17
9/4/2016,237.47
9/11/2016,235.46
9/18/2016,245.23
9/25/2016,239.57
10/2/2016,227.01
10/9/2016,229.05
10/16/2016,229.75
10/23/2016,221.94
10/30/2016,218.04
11/6/2016,217.95
11/13/2016,217.96
11/20/2016,220.96
11/27/2016,221.15
12/4/2016,229.71
12/11/2016,228.34
12/18/2016,227.23
12/25/2016,231.21
1/1/2017,235.95
1/8/2017,230.05
1/15/2017,231.59
1/22/2017,228.54
1/29/2017,229.76
2/5/2017,232.14
2/12/2017,232.13
2/19/2017,236.48
2/26/2017,233.33
3/5/2017,222.6
3/12/2017,227.6
3/19/2017,227.62
3/26/2017,228.49
4/2/2017,230.47
4/9/2017,232.69
4/16/2017,234.52
4/23/2017,227.63
4/30/2017,227.06
5/7/2017,223.85
5/14/2017,226.53
5/21/2017,227.02
5/28/2017,228.71
6/4/2017,229.92
6/11/2017,233.51
6/18/2017,233.35
6/25/2017,230.06
7/2/2017,226.59
7/9/2017,229.05
7/16/2017,230.65
7/23/2017,231.94
7/30/2017,230.96
8/6/2017,225.8
8/13/2017,225.18
8/20/2017,229.22
8/27/2017,230.37
9/3/2017,232.17
9/10/2017,233.26
9/17/2017,227.81
9/24/2017,228.83
10/1/2017,229.65
10/8/2017,233.52
10/15/2017,229.79
10/22/2017,226.3
10/29/2017,227.93
11/5/2017,233.51
11/12/2017,232.82
11/19/2017,233.39
11/26/2017,232.83
12/3/2017,231.64
12/10/2017,234.29
12/17/2017,228.72
12/24/2017,231.04
12/31/2017,225.79
1/7/2018,219.13
1/14/2018,219.33
1/21/2018,222.16
1/28/2018,214.9
2/4/2018,207.04
2/11/2018,210.52
2/18/2018,209.5
2/25/2018,205.62
3/4/2018,211.48
3/11/2018,213.45
3/18/2018,203.98
3/25/2018,211.75
4/1/2018,211.01
4/8/2018,209.88
4/15/2018,207.66
4/22/2018,215.32
4/29/2018,218
5/6/2018,220.67
5/13/2018,212.61
5/20/2018,218.95
5/27/2018,223.57
6/3/2018,226.56
6/10/2018,224.31
6/17/2018,229.78
6/24/2018,230.56
7/1/2018,234.19
7/8/2018,231.96
7/15/2018,228.54
7/22/2018,226.55
7/29/2018,234.32
8/5/2018,230.4
8/12/2018,237.64
8/19/2018,235.8
8/26/2018,237.73
9/2/2018,234.97
9/9/2018,234.4
9/16/2018,233.72
9/23/2018,230
9/30/2018,222.97
10/7/2018,216.82
10/14/2018,222.5
10/21/2018,221.6
10/28/2018,221.64
11/4/2018,230.29
11/11/2018,230.18
11/18/2018,228.34
11/25/2018,234
12/2/2018,234.69
12/9/2018,228.65
12/16/2018,213.77
12/23/2018,212.2
12/30/2018,210.47
1/6/2019,220.89
1/13/2019,225.75
1/20/2019,228.43
1/27/2019,234.73
2/3/2019,239.35
2/10/2019,240.65
2/17/2019,241.13
